16 12
DNA: Kendrick_Lamar Rap
Everlong: Foo_Fighters Alternative
Runaway: Bon_Jovi Rock
TNT: AC/DC Rocks
Dedicate: Lil_Wayne Rap
Numb: Linkin_Park Alternative
A: A A
B: D A
C: A B
D: B B
E: D A
F: A C
G: B A
H: A B
I: D A
J: C C
2
ROTATE 2
REMOVEN Runaway
2
BANG Alternative
ADD Motiv8 J.Cole Rap
1
BANA D
4
ADD K B C
ADD L A B
ADD M C A
ADD N B A
2
REMOVEG C
ROTATE -3
1
BANA C
4
ADD O D D
ADD P A D
ADD Q C D
ADD R B C
2
ROTATE 1
BANN S
1
ADD S S S
1
REMOVEA B
10
ADD T U V
ADD W Y X
BANA Z
ADD W Z Z
REMOVEG V
REMOVEN T
ROTATE -50
ADD AA Bon_Jovi Alternative
ADD AB J.Cole Rap
REMOVEN C
20
ADD AB AB AD
ADD AG AH AG
ADD HJ AJ SJ
ADD AM AJ DJ
ADD QI JJ HH
ADD WE RU EU
ADD IO OS LA
ADD PO LM BN
ADD FG LS KA
ADD QP QP QP
ADD FL MS JA
ADD DM SN FJ
ADD ZX XC XV
ADD XS SM DM
ADD QWERTYU DFGHJ CVBN
ADD LKJ MNBV OIUYT
ADD MDMD DMDMD DMDMD
ADD PSPS DJDJ SYSY
ADD QYEUW DMD SSM
ADD MNBVCC FTYHF FTGV
