10
3 3
1 3 1
1 5 1
4 2 1
2 3
1 2 3
4 5 6
10 10
12 7 19 3 14 8 1 17 10 6
2 15 9 20 13 11 5 4 18 16
8 6 14 1 7 12 19 3 10 20
11 5 17 9 4 16 2 13 18 15
3 18 6 10 20 7 14 1 11 9
15 12 4 8 19 5 16 20 2 13
7 3 11 6 9 1 18 15 14 4
10 14 2 17 13 20 8 5 16 7
19 1 15 12 3 9 6 11 20 18
5 16 13 4 8 7 10 2 14 19
10 10
4 17 9 2 11 20 6 13 15 7
3 14 5 8 12 1 19 10 16 18
6 7 20 13 4 11 3 17 2 15
8 12 19 14 1 9 5 16 10 18
11 3 15 6 7 20 2 8 14 13
17 5 10 1 16 18 12 4 9 19
13 6 2 15 11 7 18 3 20 8
19 10 14 9 5 13 1 12 6 4
7 8 16 3 20 15 19 11 17 2
15 1 18 4 10 6 14 7 13 9
10 10
18 3 11 7 20 14 2 9 6 15
4 13 8 1 19 10 17 5 12 16
6 20 15 9 2 7 14 11 3 18
12 5 1 16 8 13 19 4 17 10
7 14 3 18 11 6 20 15 2 9
10 8 16 4 17 19 12 1 5 13
15 2 9 13 3 18 7 20 14 6
11 19 5 10 1 16 8 12 17 4
9 6 20 14 7 15 13 3 18 2
3 17 12 8 10 5 19 6 1 7
10 10
5 14 8 2 17 9 12 3 19 10  
7 20 6 11 15 1 18 4 13 16  
10 3 19 7 14 6 2 9 20 11  
16 8 4 13 1 15 5 12 17 3  
9 18 11 6 20 7 14 2 16 10  
4 12 1 19 13 8 3 17 5 15  
14 7 20 10 6 16 9 11 1 18  
3 15 2 17 5 13 8 20 12 4  
18 9 13 1 10 4 16 7 15 2  
11 5 17 14 3 12 20 6 8 19
1 1
1
100 100
16 92 88 51 3 63 9 7 50 87 59 5 14 20 66 65 7 66 49 26 67 23 71 25 36 93 26 68 86 23 55 32 71 77 4 89 54 63 98 13 20 98 97 76 10 51 5 91 48 15 52 72 20 82 40 70 13 61 24 8 17 39 69 23 81 54 25 76 29 95 85 15 56 58 79 97 37 86 22 38 68 92 59 69 49 44 93 48 26 65 75 98 81 2 91 19 26 82 72 42
55 5 48 74 65 56 18 36 87 96 43 42 7 11 13 62 10 64 91 47 97 73 53 87 47 54 71 48 23 74 14 89 55 3 69 71 73 21 48 33 78 37 31 1 28 3 12 84 84 40 72 30 100 36 61 47 96 83 78 85 3 82 81 83 19 83 88 70 2 69 49 54 26 24 57 99 2 19 29 64 70 46 31 11 56 50 63 26 12 7 86 87 3 10 2 71 6 65 3 14
73 69 82 53 64 30 98 60 16 54 60 49 97 86 20 67 44 32 37 39 6 85 78 60 94 58 60 18 73 58 77 42 35 40 66 80 65 10 55 17 8 1 2 65 59 77 75 62 47 35 62 72 55 54 87 43 23 82 89 77 21 57 83 37 21 75 61 94 4 49 4 19 31 27 51 89 85 45 70 12 17 75 14 21 76 90 48 22 93 84 77 75 75 58 66 90 26 79 96 15
38 35 62 48 35 73 22 54 21 67 96 59 66 93 6 47 18 94 84 67 54 28 8 35 83 2 37 97 9 49 4 94 13 57 86 77 78 85 6 80 48 13 58 81 84 36 36 66 85 1 17 96 31 75 21 11 41 40 81 76 24 60 96 11 100 33 95 42 60 58 40 23 15 38 10 23 79 66 74 52 75 20 99 60 66 54 98 55 46 26 3 12 74 92 49 96 47 52 13 38
88 23 4 55 10 78 1 52 43 90 62 78 56 91 70 59 98 44 77 10 71 36 93 26 92 72 29 77 62 52 44 52 54 38 50 69 42 82 55 41 48 23 47 69 56 74 45 77 54 92 86 26 64 9 11 67 39 46 30 50 23 17 65 7 52 24 50 4 56 69 73 72 54 67 39 93 86 57 20 46 76 53 7 95 78 13 5 35 38 73 45 79 9 1 48 40 8 10 68 99
72 6 61 70 61 18 86 64 81 98 6 31 67 50 62 23 17 39 52 19 29 48 57 16 55 76 10 99 46 11 62 75 51 12 83 57 67 5 86 84 73 76 88 46 63 67 27 20 17 19 22 69 42 45 57 48 38 6 76 73 65 34 7 33 77 92 37 37 62 39 11 94 83 89 11 92 35 64 64 11 43 65 66 93 7 86 91 69 79 44 84 37 60 98 45 85 77 85 57 98
47 5 69 64 42 54 84 14 5 10 86 83 14 40 35 70 81 42 21 77 80 60 100 33 46 92 58 6 53 48 44 46 73 62 78 2 36 51 18 95 100 53 45 45 61 49 15 96 1 48 25 99 78 83 68 62 26 47 69 13 53 63 13 61 7 82 79 88 75 81 81 66 21 10 41 23 92 55 97 54 63 49 11 31 29 80 79 16 76 39 65 71 52 61 74 78 27 5 58 30
88 50 85 42 42 74 61 74 4 23 62 8 28 76 62 17 14 53 68 27 49 18 48 13 70 81 37 93 34 22 10 56 41 85 94 88 32 61 40 25 100 85 1 20 49 32 2 42 72 59 34 39 17 54 7 3 9 49 31 96 96 83 14 15 83 65 56 3 6 70 46 44 44 36 49 96 26 22 91 56 57 66 88 9 28 22 18 9 15 82 67 25 15 29 39 17 19 85 62 35
91 73 95 25 40 48 57 51 86 91 43 21 18 18 24 36 92 96 71 4 69 17 5 48 17 55 79 93 96 41 32 20 33 28 87 5 23 13 76 9 82 99 67 78 9 40 14 7 92 78 16 2 99 68 65 72 69 84 3 74 32 41 21 38 9 22 65 8 97 12 73 16 31 14 38 53 20 59 30 71 16 54 37 2 18 6 51 70 22 83 38 6 54 43 54 11 85 30 6 8
77 4 76 87 59 34 87 71 34 52 90 44 23 62 55 74 89 60 2 39 73 93 75 82 71 13 84 5 82 7 30 18 69 48 31 74 84 30 23 6 11 19 29 32 22 3 50 57 9 50 70 86 63 85 99 2 67 11 77 74 77 4 37 10 68 41 99 60 22 20 71 56 89 87 95 77 87 62 8 90 30 43 27 25 89 46 46 56 24 6 20 21 24 3 71 55 87 86 66 77
