2026-01-01,Amarillo,28.4,0.10,14
2026-01-01,Dallas,35.2,0.00,8
2026-01-01,Houston,72.5,0.30,12
2026-01-02,Amarillo,25.0,0.00,10
2026-01-02,Dallas,30.1,0.05,15
2026-01-02,Houston,74.0,0.10,9
2026-01-03,Amarillo,22.5,0.12,18
2026-01-03,Dallas,29.0,0.00,20
2026-01-03,Houston,71.8,0.40,14
2026-01-04,Amarillo,27.1,0.00,11
2026-01-04,Dallas,34.0,0.02,7
2026-01-04,Houston,73.2,0.00,10
2026-01-05,Amarillo,29.6,0.00,9
2026-01-05,Dallas,36.4,0.00,6
2026-01-05,Houston,75.1,0.20,13
2026-01-06,Amarillo,26.3,0.05,16
2026-01-06,Dallas,33.5,0.01,12
2026-01-06,Houston,76.0,0.00,11
2026-01-07,Amarillo,24.8,0.00,13
2026-01-07,Dallas,31.9,0.00,9
2026-01-07,Houston,74.6,0.15,15
2026-01-08,Amarillo,23.9,0.08,19
2026-01-08,Dallas,28.7,0.00,21
2026-01-08,Houston,73.9,0.05,12
2026-01-09,Amarillo,26.7,0.00,10
2026-01-09,Dallas,32.8,0.03,14
2026-01-09,Houston,75.4,0.00,10
2026-01-10,Amarillo,30.2,0.00,8
2026-01-10,Dallas,37.1,0.00,7
2026-01-10,Houston,77.2,0.25,14
2026-01-11,Amarillo,31.0,0.00,9
2026-01-11,Dallas,38.0,0.00,6
2026-01-11,Houston,78.1,0.10,13
2026-01-12,Amarillo,27.5,0.06,15
2026-01-12,Dallas,34.2,0.02,11
2026-01-12,Houston,76.8,0.00,9
2026-01-13,Amarillo,21.8,0.14,22
2026-01-13,Dallas,27.9,0.00,24
2026-01-13,Houston,72.0,0.45,16
2026-01-14,Amarillo,24.2,0.00,12
2026-01-14,Dallas,30.6,0.04,13
2026-01-14,Houston,74.3,0.05,12
2026-01-15,Amarillo,28.9,0.02,10
2026-01-15,Dallas,35.0,0.00,8
2026-01-15,Houston,76.5,0.00,11
